設備・備品ID,設備・備品名,カテゴリー,シリアル№
TSG60W-02,TGS018-60W(Ra90)2,TGS018-60W デモ機,
TSG60W-03,TGS018-60W(Ra90)3,TGS018-60W デモ機,
TSG60W-04,TGS018-60W(Ra90)4,TGS018-60W デモ機,
TSG60W-05,TGS018-60W(Ra90)5,TGS018-60W デモ機,
TSG60W-07,TGS018-60W(Ra90)7,TGS018-60W デモ機,
TSG60W-08,TGS018-60W(Ra90)8,TGS018-60W デモ機,
TSG60W-09,TGS018-60W(Ra90)9,TGS018-60W デモ機,
TSG60W-10,TGS018-60W(Ra90)10,TGS018-60W デモ機,
TSG60W-11,TGS018-60W(Ra90)11,TGS018-60W デモ機,
TSG60W-12,TGS018-60W12　※緊急対応用,TGS018-60W デモ機,
TSG60W-13,TGS018-60W(2700K),TGS018-60W デモ機,
TSG60WS-01,アームスタンド60Ｗ(Ra90)①,TGS018-60W デモ機,
TSG60WS-02,アームスタンド60Ｗ(Ra90)②,TGS018-60W デモ機,
TSG60WS-03,アームスタンド60Ｗ(Ra90)③,TGS018-60W デモ機,
TSG60WS-04,アームスタンド60Ｗ(Ra90)④　※強化型,TGS018-60W デモ機,
TSG60WS-05,アームスタンド60Ｗ(Ra90)⑤　※強化型,TGS018-60W デモ機,
TSG60WS-06,アームスタンド60Ｗ(Ra90)⑥　※強化型,TGS018-60W デモ機,
TSG60WS-07,アームスタンド60Ｗ(Ra90)⑦　※強化型,TGS018-60W デモ機,
TSG60WS-08,アームスタンド60Ｗ(Ra90)⑧　※強化型,TGS018-60W デモ機,
TSG60WS-09,アームスタンド60Ｗ(Ra90)⑨,TGS018-60W デモ機,
TSG60WS-10,アームスタンド60Ｗ(Ra90)⑩,TGS018-60W デモ機,
TSG60WS-91,【緊急用】旧アームスタンド60W1,TGS018-60W デモ機,
TSG60WS-92,【緊急用】旧アームスタンド60W2,TGS018-60W デモ機,
TSG60WS-93,【緊急用】旧アームスタンド60W3,TGS018-60W デモ機,
TSG100W-01,TGS018-100W　①,TGS018-100Wデモ機,
TSG100W-02,TGS018-100W　②,TGS018-100Wデモ機,
TSG100W-03,TGS018-100Ｗ　③,TGS018-100Wデモ機,
TSG100W-04,TGS018-100W　④,TGS018-100Wデモ機,
TSG100W-05,TGS018-100W　⑤ ※不点灯,TGS018-100Wデモ機,
TSG100W-06,TGS018-100W　⑥,TGS018-100Wデモ機,
TSG100W-07,TGS018-100W　⑦,TGS018-100Wデモ機,
TSG100W-08,TGS018-100Ｗ　,TGS018-100Wデモ機,
TSG100WS-01,TGS018-100Wアーム用ステイ1,TGS018-100Wデモ機,
TSG100WS-02,TGS018-100Wアーム用ステイ2,TGS018-100Wデモ機,
TSG100WS-03,TGS018-100Wアーム用ステイ3　※穴位置注意,TGS018-100Wデモ機,
NK40S-01,【9/8～乳白レンズ仕様】NK40（黒）+アーム（黒）　①,NK40 デモ機,
NK40S-02,NK40（グレー）+アーム（白）　②,NK40 デモ機,
NK40S-03,NK40（グレー）+アーム（白）　③,NK40 デモ機,
NK40S-04,NK40（グレー）+アーム（白）　④,NK40 デモ機,
NK40S-05,NK40（グレー）+アーム（白）　⑤,NK40 デモ機,
NK40S-06,NK40（グレー）+アーム（白）　⑥,NK40 デモ機,
NK40S-07,NK40（グレー）+アーム（黒）　⑦,NK40 デモ機,
NK40S-08,NK40（グレー）+アーム（黒）　⑧,NK40 デモ機,
NK40S-09,NK40（グレー）+アーム（黒）　⑨,NK40 デモ機,
NK40S-10,NK40（グレー）+アーム（黒）　⑩,NK40 デモ機,
NK40S-11,【9/14～乳白レンズ仕様】NK40（黒）+アーム（黒）　⑪,NK40 デモ機,
NK40S-12,【9/8～乳白レンズ仕様】NK40（黒）+アーム（黒）　⑫,NK40 デモ機,
NK150-01,NK150デモ機①,NK150・200 デモ機, 259D218
NK150-02,NK150デモ機②,NK150・200 デモ機, 215D198
NK150-03,NK150デモ機③ ,NK150・200 デモ機,(2411D391)
NK150-04,NK150デモ機④,NK150・200 デモ機, (2411D392)
NK150-05,NK150デモ機⑤,NK150・200 デモ機, (257D473)
NK200-01,NK200デモ機①,NK150・200 デモ機,224E101
NK200-02,NK200デモ機② ,NK150・200 デモ機,224E105
NK228-150-01,NK228-150,NK228 デモ機,
NK228-200-01,NK228-200,NK228 デモ機,229G071
NK228-200-02,NK228-200,NK228 デモ機,229G066
CS-01,キャスタースタンド①(安定器置有),照明備品,
CS-02,キャスタースタンド②(安定器置無),照明備品,
CS-03,キャスタースタンド③(安定器置無),照明備品,
CS-04,キャスタースタンド④(安定器置無),照明備品,
FS-01,フレームスタンド,照明備品,
TS-01,三脚①,照明備品,
TS-02,三脚②,照明備品,
PT-01,変圧器,照明備品,
LEX3130BK-01,カネカ有機EL① LEX-3130BK,有機EL デモ機,
LEX3130BK-02,カネカ有機EL② LEX-3130BK　4000K（無期限/無償貸出）※不点灯使用不可,有機EL デモ機,
LEX3130BK-03,カネカ有機EL③ LEX-3130BK　4000K（無期限/無償貸出）,有機EL デモ機,
LEX3130BK-04,カネカ有機EL④ LEX-3130BK　4000K（無期限/無償貸出）,有機EL デモ機,
LEX3132-01,カネカ有機EL　LEX3132①　3000K,有機EL デモ機,
LEX3132-02,カネカ有機EL　LEX3132②　3000K,有機EL デモ機,
IB-01,カネカ有機EL用組み立て式検査ブース（黒プラダン）,有機EL デモ機,
OLED-01,カネカ有機EL OLEDベースライト(4000K),有機EL デモ機,
OLEDHL-01,有機ELハンディライト①,有機EL デモ機,
OLEDHL-02,有機ELハンディライト②,有機EL デモ機,
OLEDHL-03,有機ELハンディライト③,有機EL デモ機,
LEDATL120-01,LED ATL-120,LED デモ機,
LEDATL180-01,LED ATL-180,LED デモ機,
LEDATL240-01,LED ATL-240,LED デモ機,
LEDMKOS120-01,LED MKO-S-120①,LED デモ機,
LEDMKOS180-01,LED MKO-S-180,LED デモ機,
LEDBLWPL822-01,LEDベースライトWPL822,LED デモ機,
